Measurement Axis Value
1 X 2061.43
1 Y -459.1
1 Z 378.72
2 X 2059.9
2 Y -499.7
2 Z 378.67
3 X 2059.55
3 Y -499.08
3 Z 378.61
4 X 2059.15
4 Y -499.98
4 Z 378.2
5 X 2059.71
5 Y -419.12
5 Z 379.01
6 X 2059.44
6 Y -419.92
6 Z 378.41

7 X 2062.43
7 Y -459.01
7 Z 378.22
8 X 2059.59
8 Y -499.71
8 Z 378.627
9 X 2059.58
9 Y -499.8
9 Z 378.81
10 X 2059.1
10 Y -499.90
10 Z 378.55
11 X 2059.33
11 Y -419.11
11 Z 379.61
12 X 2059.14
12 Y -419.32
12 Z 378.51
13 X 2061.41
13 Y -459.51
13 Z 378.44
14 X 2061.4
14 Y -459.19
1¤ Z 378.21
15 X 2059.01
15 Y -499.66
15 Z 378.88
16 X 2059.15
16 Y -499.18
16 Z 378.72
17 X 2059.523
17 Y -499.78
17 Z 378.21
18 X 2059.171
18 Y -419.122
18 Z 379.41
19 X 2059.34
19 Y -419.77
19 Z 378.63
20 X 2059.14
20 Y -419.27
20 Z 378.33
