Measurement Axis Value
1 X 2061.43
1 Y 440.1
1 Z 378.72
2 X 2061.9
2 Y 441.7
2 Z 379.67
3 X 2062.55
3 Y 442.08
3 Z 380.61
4 X 2063.15
4 Y 443.98
4 Z 381.2
5 X 2064.71
5 Y 444.12
5 Z 382.01
6 X 2065.44
6 Y 445.92
6 Z 383.41
7 X 2066.43
7 Y 446.01
7 Z 384.22
8 X 2067.59
8 Y 447.71
8 Z 385.627
9 X 2068.58
9 Y 448.8
9 Z 386.81
10 X 2069.1
10 Y 449.90
10 Z 387.55
11 X 2070.33
11 Y 450.11
11 Z 388.61
12 X 2071.14
12 Y 451.32
12 Z 389.51
13 X 2072.41
13 Y 452.51
13 Z 390.44
14 X 2073.4
14 Y 453.19
14 Z 391.21
15 X 2074.01
15 Y 454.66
15 Z 392.88
16 X 2075.15
16 Y 455.18
16 Z 393.72
17 X 2076.523
17 Y 456.78
17 Z 394.21
18 X 2077.171
18 Y 457.122
18 Z 395.41
19 X 2078.34
19 Y 458.77
19 Z 396.63
20 X 2079.14
20 Y 459.27
20 Z 398.33
