Measurement Axis Value
1 X 2060.43
1 Y 2060.43
1 Z 2060.43
2 X 2059.9
2 Y 2059.9
2 Z 2059.9
3 X 2058.9
3 Y 2058.9
3 Z 2058.9
4 X 2057.9
4 Y 2057.9
4 Z 2057.9
5 X 2056.9
5 Y 2056.9
5 Z 2056.9
6 X 2055.1
6 Y 2055.1
6 Z 2055.1
7 X 2054.43
7 Y 2054.43
7 Z 2054.43
8 X 2053.59
8 Y 2053.59
8 Z 2053.59
9 X 2052.58
9 Y 2052.58
9 Z 2052.58
10 X 2051.1
10 Y 2051.1
10 Z 2051.1
11 X 2050.33
11 Y 2050.33
11 Z 2050.33
12 X 2041.14
12 Y 2041.14
12 Z 2041.14
13 X 2032.41
13 Y 2032.41
13 Z 2032.41
14 X 2031.4
14 Y 2031.4
14 Z 2031.4
15 X 2030.124
15 Y 2030.124
15 Z 2030.124
16 X 2025.15
16 Y 2025.15
16 Z 2025.15
17 X 2023.523
17 Y 2023.523
17 Z 2023.523
18 X 2020.171
18 Y 2020.171
18 Z 2020.171
19 X 2018.34
19 Y 2018.34
19 Z 2018.34
20 X 2009.14
20 Y 2009.14
20 Z 2009.14
