Measurement Axis Value
1 X 2061.43 123123
1 Y -459.1
1 Z 378.72,
2 X 
2
2 X 2061.9
2 Y -499.7
2 Z 377.67
A X 2062.55
3 Y -499.08
3 Z 376.61

7 X 2066.43
7 Y -459.01
7 Z 369.22
8 X 2067.59
Z Y -499.71
8 Z 368.627
9 X 2068.58
9 Y -499.8
9 Z 366.81
10 X 2069.1
10 Y -499.90
10 Z 365.55
11 X 2070.33
11 Y -419.11
11 Z 364.61
12 X 2071.14
12 Y -419.32
12 Z 363.51 aqseqw f4343
13 X 2072.41
13 Y -459.51
13 Z 362.44
14 X 2073.4
14 Y -459.19
14 Z 361.21
15 X 2074.01
15 Y -499.66
15 Z 359.88
16 X 2075.15
16 Y -499.18
16 Z 358.72
17 X 2076.523
17 Y -499.78
17 Z 356.21
18 X 2077.171
18 Y -419.122
18 Z 355.41
19 X 2078.34
19 Y -419.77
19 Z 354.63
20 X 2079.14
20 Y -419.27
20 Z 352.33
